time_x,current_performance,target_performance,cpu_node_percentage,net_node_percentage,io_node_percentage
3452,700000.000000,650000.000000,0.065000,0.029483,0.127077
3457,700000.000000,650000.000000,0.065000,0.029483,0.127077
3462,700000.000000,650000.000000,0.065000,0.029483,0.127077
3466,700000.000000,650000.000000,0.065000,0.029483,0.127077
3471,700000.000000,650000.000000,0.065000,0.029483,0.127077
3476,700000.000000,650000.000000,0.065000,0.029483,0.127077
3481,700000.000000,650000.000000,0.065000,0.029483,0.127077
3486,700000.000000,650000.000000,0.065000,0.029483,0.127077
3490,700000.000000,650000.000000,0.065000,0.029483,0.127077
3495,700000.000000,650000.000000,0.065000,0.029483,0.127077
3500,700000.000000,650000.000000,0.065000,0.029483,0.127077
3504,700000.000000,650000.000000,0.065000,0.029483,0.127077
3508,700000.000000,650000.000000,0.065000,0.029483,0.127077
3512,700000.000000,650000.000000,0.065000,0.029483,0.127077
3517,700000.000000,650000.000000,0.065000,0.029483,0.127077
3522,700000.000000,650000.000000,0.065000,0.029483,0.127077
3526,700000.000000,650000.000000,0.065000,0.029483,0.127077
3532,700000.000000,650000.000000,0.065000,0.029483,0.127077
3536,700000.000000,650000.000000,0.065000,0.029483,0.127077
3541,700000.000000,650000.000000,0.065000,0.029483,0.127077
3546,700000.000000,650000.000000,0.065000,0.029483,0.127077
3551,700000.000000,650000.000000,0.065000,0.029483,0.127077
3556,700000.000000,650000.000000,0.065000,0.029483,0.127077
3560,700000.000000,650000.000000,0.065000,0.029483,0.127077
3565,700000.000000,650000.000000,0.065000,0.029483,0.127077
3570,700000.000000,650000.000000,0.065000,0.029483,0.127077
3575,700000.000000,650000.000000,0.065000,0.029483,0.127077
3579,700000.000000,650000.000000,0.065000,0.029483,0.127077
3584,700000.000000,650000.000000,0.065000,0.029483,0.127077
3589,700000.000000,650000.000000,0.065000,0.029483,0.127077
3594,700000.000000,650000.000000,0.065000,0.029483,0.127077
3599,700000.000000,650000.000000,0.065000,0.029483,0.127077
3603,700000.000000,650000.000000,0.065000,0.029483,0.127077
3608,700000.000000,650000.000000,0.065000,0.029483,0.127077
3613,700000.000000,650000.000000,0.065000,0.029483,0.127077
3617,700000.000000,650000.000000,0.065000,0.029483,0.127077
3621,700000.000000,650000.000000,0.065000,0.029483,0.127077
3625,700000.000000,650000.000000,0.065000,0.029483,0.127077
3630,700000.000000,650000.000000,0.065000,0.029483,0.127077
3635,700000.000000,650000.000000,0.065000,0.029483,0.127077
3639,700000.000000,650000.000000,0.065000,0.029483,0.127077
3645,700000.000000,650000.000000,0.065000,0.029483,0.127077
3649,700000.000000,650000.000000,0.065000,0.029483,0.127077
3654,700000.000000,650000.000000,0.065000,0.029483,0.127077
3659,700000.000000,650000.000000,0.065000,0.029483,0.127077
3664,700000.000000,650000.000000,0.065000,0.029483,0.127077
3669,700000.000000,650000.000000,0.065000,0.029483,0.127077
